nofish	livebait	camper	persons	child	xb	zg	count
1	0	0	1	0	-0.8963145613670349	3.050404787063598	0
0	1	1	1	0	-0.5583449602127075	1.7461489439010618	0
0	1	0	1	0	-0.401731014251709	0.2799388766288757	0
0	1	1	2	1	-0.9562981128692628	-0.6015256643295288	0
0	1	0	1	0	0.43689095973968506	0.5277091264724731	1
0	1	1	4	2	1.3944854736328125	-0.7075347900390625	0
0	1	0	3	1	0.18471674621105194	-3.398022174835205	0
0	1	0	4	3	2.329106569290161	-5.450901508331299	0
1	0	1	3	2	0.1883864849805832	-1.527417778968811	0
0	1	1	1	0	0.2876899242401123	1.3938905000686646	1
0	1	0	4	1	1.990952730178833	-1.9331899881362915	0
0	1	1	3	2	1.3178931474685671	-2.4715745449066158	0
1	0	0	3	0	0.2980416715145111	1.5912652015686035	1
0	1	0	3	0	1.290873408317566	0.8295348882675171	2
0	1	1	1	0	-0.0608898401260376	2.820579290390014	0
1	1	1	1	0	0.3700492084026337	2.158344984054565	1
0	1	0	4	1	1.9790934324264529	-3.069952726364136	0
1	1	1	3	2	0.7153370976448059	-1.952804923057556	0
0	1	1	2	1	1.5160530805587769	-0.18656735122203827	1
0	1	0	3	1	-0.034895967692136765	-0.11892249435186385	0
0	1	0	4	1	1.1782302856445312	0.0018565660575404765	1
0	1	1	4	0	1.6421117782592771	1.892821311950684	5
0	1	1	2	1	0.597727358341217	-0.2942781448364258	0
0	1	1	2	0	1.1397230625152588	1.931791067123413	3
0	1	1	3	0	3.5002975463867188	1.4512708187103271	30
0	1	1	2	0	-0.7899783849716187	2.817448616027832	0
0	1	1	4	0	2.66235613822937	1.656562566757202	13
0	1	0	2	1	1.6061724424362185	-1.0645425319671629	0
0	1	0	1	0	0.01855017989873886	0.08079826831817627	0
0	1	0	4	3	3.0345590114593506	-4.824044704437256	0
0	1	0	1	0	0.05100075528025627	0.9218238592147828	0
0	1	1	3	1	0.7452588081359863	-0.6638671159744263	0
0	1	1	4	0	2.453136682510376	3.5083677768707275	11
0	1	1	4	1	2.3527066707611084	0.17660972476005554	5
0	1	1	1	0	-1.108257532119751	0.7720884084701538	0
1	0	0	2	0	0.5154194235801697	1.656657576560974	1
1	1	1	2	1	1.9827685356140137	-0.64223712682724	1
1	1	1	4	1	2.066855907440185	1.2445074319839478	7
1	1	1	3	1	0.09501177072525024	-2.2686607837677	0
0	1	1	4	1	5.352674007415772	-1.4729925394058228	14
0	1	1	1	0	-0.7118139266967773	3.0204780101776123	0
0	1	1	4	0	3.484046220779419	2.3556528091430664	32
1	0	0	3	2	2.4009063243865967	-3.0864737033843994	0
1	0	1	4	0	0.37602847814559937	2.6760778427124023	1
1	1	0	4	2	1.0850564241409302	-2.65479040145874	0
0	1	1	1	0	-1.0671987533569336	2.133044958114624	0
0	1	1	2	1	0.3229970633983612	0.3034364879131317	0
0	1	0	1	0	0.5010663270950317	1.55316162109375	1
0	1	1	2	1	2.0114884376525883	0.627036452293396	5
0	1	0	2	1	0.9571473598480223	-2.0581746101379395	0
0	1	1	2	1	1.114434003829956	0.28473207354545593	1
0	1	1	2	1	-0.6738300323486328	-0.7081019878387451	0
0	1	1	4	0	3.196705818176269	1.5154833793640137	22
1	0	0	2	0	-0.3863207995891571	2.0795879364013667	0
0	1	1	3	0	2.7185115814208984	2.6293129920959477	15
1	0	1	1	0	-1.269290566444397	4.1795997619628915	0
0	1	1	1	0	-1.0878059864044192	2.1226129531860347	0
0	1	1	1	0	-0.9845783114433287	1.3515208959579468	0
1	1	1	4	1	1.8724677562713623	1.261176824569702	5
1	1	1	1	0	1.5479555130004885	1.6289883852005005	4
0	1	0	2	0	1.0040942430496216	1.0836246013641355	2
0	1	1	2	1	-0.16520261764526367	2.0952503681182857	0
0	1	0	2	1	1.4716452360153198	-0.07347089797258377	2
0	1	1	4	0	3.4893360137939453	2.54799747467041	32
0	1	0	4	3	1.885775804519653	-4.232519626617432	0
0	1	1	1	0	-2.2725300788879395	1.6007531881332395	0
0	1	0	1	0	0.6138409972190857	1.1117559671401978	1
1	1	0	3	2	2.8789975643157963	-2.7660670280456543	0
1	1	1	1	0	-0.9448488354682922	2.0116078853607178	0
0	1	1	2	1	0.8200352191925049	-1.2854379415512085	0
0	1	1	3	0	2.088183641433716	2.2687482833862305	7
0	1	0	4	3	2.1653063297271733	-5.035178184509277	0
1	0	0	4	2	0.5575263500213623	-2.696651697158813	0
0	1	1	3	2	-0.6276955008506775	-3.2243115901947017	0
1	0	1	1	0	-3.275050163269043	0.9133918285369872	0
0	1	0	2	0	0.3073975741863251	-0.4314827620983124	0
0	1	0	3	2	0.4593037366867066	-3.140106678009033	0
1	1	1	1	0	-0.18809916079044345	3.2674453258514404	0
0	1	0	2	1	-0.19742321968078613	-0.2383319139480591	0
0	1	0	4	0	0.9011332392692566	1.393922209739685	2
0	1	1	4	1	2.2297375202178955	-0.4101121127605438	3
1	1	0	2	1	1.1500788927078247	-0.3204764425754547	1
0	1	1	3	0	1.7165309190750122	2.654059886932373	5
0	1	0	1	0	-0.4657383859157562	0.24608252942562106	0
