CustomerID	recency	frequency	monetary
12346.0	325	1	77183.6
12747.0	2	103	4196.010000000001
12748.0	0	4596	33719.730000000316
12749.0	3	199	4090.880000000001
12820.0	3	59	942.3399999999999
12821.0	214	6	92.72
12822.0	70	46	948.8799999999999
12823.0	74	5	1759.5
12824.0	59	25	397.11999999999995
12826.0	2	91	1474.7199999999993
12827.0	5	25	430.15
12828.0	2	56	1018.7100000000003
12829.0	336	11	293.0
12830.0	37	38	6814.640000000001
12831.0	262	9	215.05
12832.0	32	27	383.03000000000003
12833.0	145	24	417.37999999999994
12834.0	282	18	312.38
12836.0	59	175	2612.8599999999988
12837.0	173	12	134.1
12838.0	33	123	683.1299999999994
12839.0	2	314	5591.420000000003
12840.0	143	113	2726.769999999999
12841.0	4	420	4022.3499999999967
12842.0	70	34	1118.99
12843.0	65	103	1702.26
12844.0	29	52	325.9599999999999
12845.0	267	27	354.09000000000003
12847.0	22	91	871.5399999999998
12849.0	31	51	1050.8899999999999
12851.0	96	50	135.17999999999995
12852.0	294	17	311.54999999999995
12853.0	134	78	1957.1
12854.0	78	110	1324.5000000000007
12855.0	372	3	38.1
12856.0	7	314	2179.9300000000007
12857.0	210	46	1106.4000000000003
12863.0	52	5	521.2
12864.0	138	3	147.12
12867.0	26	538	4036.819999999996
12868.0	185	107	1607.0600000000009
12871.0	84	11	380.64000000000004
12872.0	326	66	599.9699999999998
12873.0	282	4	374.0
12875.0	143	2	343.2300000000001
12877.0	3	154	1535.7700000000007
12878.0	236	47	854.9899999999999
12879.0	44	10	573.22
12881.0	275	7	298.0
12882.0	9	13	1463.0399999999995
12883.0	24	42	703.4700000000001
12884.0	88	7	309.05000000000007
12885.0	63	71	1175.2199999999996
12886.0	67	82	1378.4
12888.0	214	5	354.12
12890.0	24	82	380.46999999999997
12891.0	185	3	331.0
12893.0	30	34	188.14
12895.0	42	22	372.79999999999995
12897.0	204	4	216.5
12901.0	8	116	17654.539999999997
12902.0	264	10	138.68
12904.0	18	72	509.57999999999976
12906.0	11	63	2919.809999999999
12908.0	176	2	750.0
12909.0	39	91	2178.67
12910.0	23	75	3075.0400000000013
12912.0	2	24	1662.3
12913.0	4	50	2483.6299999999997
12915.0	148	22	363.65
12916.0	138	107	3006.1500000000005
12917.0	128	2	594.0
12919.0	8	50	1335.1899999999998
12920.0	17	28	164.23000000000002
12921.0	9	720	16587.09000000002
12922.0	161	28	405.38
12923.0	64	29	176.97
12924.0	88	30	933.7000000000003
12925.0	4	45	694.0499999999998
12928.0	35	84	2062.6999999999994
12929.0	311	8	117.85000000000001
12930.0	78	25	415.8
12931.0	21	82	42055.95999999999
12933.0	24	106	607.5299999999999
12935.0	2	129	2160.6999999999994
