x,y
73.32235805270001,87.41832304719999
72.3618211502,92.9629110285
67.71701478109999,90.4885417691
31.676889135,98.274944839
67.8885563363,80.4411967221
45.330661550500004,42.579503843699996
25.6120605196,64.90701755069999
62.5212938066,45.4133120761
46.0501656294,87.4070971669
60.0065572492,71.28652314109999
34.3282493975,84.9920039046
42.1268478577,79.4055552321
36.344150668299996,30.007249002600002
39.8701690669,76.6674658961
48.0530973743,23.477421379499997
47.73749093560001,21.7371129487
61.652921051099995,24.435003665
69.6324335731,36.3156046668
73.24999524,44.260250624899996
71.3843893665,67.8458690592
72.80555773020001,69.0713872484
58.7623337014,14.6225740295
28.9769334589,58.2712702296
78.8930752529,53.8928184063
35.7022540681,34.1900774444
34.327639566900004,42.1880737264
63.085311839,88.06172491870001
38.1338466458,36.5167585795
64.2944610653,20.5161071419
64.9938909249,17.8383978423
56.9694817765,80.3032558207
59.4425266471,76.3004911844
28.302985087899998,57.5944272114
77.7052134212,34.0399184712
48.900704591899995,73.6426052594
60.3650370706,9.9691205098
37.161668816100004,66.3133049291
33.6119288812,11.7765465374
42.4093086427,63.9142303362
41.009495151399996,68.6238483608
33.013375341999996,70.5498669076
61.977193612,21.0405179701
37.1501928071,75.451847051
42.0990032354,67.758691588
41.2979885049,64.6282793396
39.8717330517,63.182316083100005
52.753415891,8.73693439959
55.989298812799994,68.6761410024
48.3140243933,2.9354906214999996
67.7447415249,13.3945190415
41.6141370657,67.0823511861
74.526482945,47.2085142323
29.1726975522,28.1677688646
75.3517240813,23.8766475154
57.0029191098,8.9123100051
35.163559901199996,23.835326137800003
43.486648751800004,14.794083527
74.4338053056,23.9752068418
38.349680703000004,21.946592119499996
35.653728052199995,34.200515634
73.0932729871,78.63453593359999
42.4965462184,78.7882284653
36.0236657721,58.333736837299995
35.7450211495,62.4088390196
67.7597288151,86.1910876479
70.6957468522,63.4440512733
62.3411477409,44.30579393520001
75.0556367011,77.419284276
71.9257014014,90.2816674649
32.9818958008,78.527164804
32.8217016614,69.3881118013
70.7109206583,53.891203920600006
73.1784658196,75.3092782926
62.0333287845,36.6461059815
32.889486287800004,50.4429411072
41.2281812302,83.410491916
57.697616441899996,79.9419736221
53.8561969641,24.7456047727
36.3793340618,88.53907080329999
76.95214841949999,91.9384786736
55.186433534799995,59.03014327020001
77.0152657739,74.0817666331
38.6492839748,87.4190222876
40.5361809551,66.0148553271
44.1288816912,86.4871003983
75.7983158505,92.6591033933
70.443626525,91.33422281450001
37.8317534921,64.8991628269
49.1287781908,31.3260060678
58.5670102325,26.9032890387
55.009594969700004,26.6352216463
59.3965929797,74.1210949735
65.7382601362,22.0683607199
80.39963336550001,21.5845582908
73.8901965561,21.5419097958
75.3560632806,63.2528051157
79.2234966226,61.757301739
85.8896972195,58.3536590712
32.0342605317,28.148303846300003
32.8938537863,29.167633554600002
35.719846200300005,23.9037039967
76.9526007681,51.5913118449
40.3884923036,10.4336553397
48.774139131999995,67.5962976475
46.0066958053,10.1782963668
41.0959767103,15.3065533639
38.5137036826,15.9958405267
37.7061349167,43.8745556741
54.601665221000005,0.0839922865733
58.3281787379,58.14932998770001
75.03057337,40.8122021108
33.0514816261,37.6091999465
38.784827335500005,50.175531616099995
31.2643839167,30.1419473523
69.8015202599,8.41718009268
69.15893843010001,33.3293164356
34.0236150535,36.452077901399996
73.4228990527,13.3249711617
68.3941312255,42.1261529901
34.9043545288,25.587537690500003
61.101785990799996,55.7129300975
31.8615631619,21.875108785300004
69.4507240562,32.1438101884
69.6830666709,24.5008658081
73.706021033,8.78582159668
37.937193796500004,38.0992310858
75.9778152796,12.4007769403
77.2152433325,18.962451091800002
38.19996702,28.6738340194
81.0327686605,6.526431264789999
82.8960225013,13.7540996299
80.8881626554,2.11079403582
45.94035309310001,39.985199451999996
44.5659819787,46.561959913900004
78.6645637231,0.76708729154
41.5207615159,17.214518913699997
50.1334778538,63.7036646079
37.9682060937,58.067013132700005
75.3662121065,18.324570091800002
69.489404213,85.2484523872
65.5639482208,68.92291785569999
29.7105671814,77.0868902967
